title,url,synopsis,genre,country,year
생활의 발견,https://pedia.watcha.com/ko-KR/contents/mpWpGA5,"연극계에서 제법 알려진 배우 경수(김상경). 잘 아는 감독만 믿고 영화에 출연했는데 흥행이 시원치 않다. 런닝 개런티를 부득부득 우겨 받아내는데 딸랑 100만원. 약속했던 차기작 캐스팅은 날아가 버렸고. 이제 뭘 하지? 글을 쓰는 선배를 찾아 춘천으로 내려간 경수. 자신의 팬이라는 명숙(예지원)를 만난다. 무용가인 그녀는 얼굴도 예쁘고 몸매도 근사하다. 함께 술을 마시다가 그녀는 갑작스레 경수에게 호감을 표시하고 둘의 사이는 얼떨결에 급진전한다. 그러나 사실 그녀는 선배가 남몰래 좋아하던 여인인데...어, 이래도 되는 거야? 믿지 못 할 춘천의 기억을 뒤로 하고 충동적으로 경주행 기차에 오른 경수. 옆자리의 선영(추상미)에게 강하게 끌린다. 선영을 무작정 쫓아 나서지만, 차가운 듯 아닌 듯 그녀의 태도가 묘하다. 다음날 그녀의 집까지 찾아가는 경수. 그러나 선영의 놀��라운 선언을 듣는데...",드라마/로맨스,한국,2002
게임의 법칙,https://pedia.watcha.com/ko-KR/contents/mJO1qQO,"멋진 인생을 살고 싶어하는 용대(박중훈)와 그를 사랑하는 미용사 태숙(오연수)은 주먹 세계의 대부인 유광천을 찾아 무작정 상경한다. 올라오던 기차 안에서 만수(이경영)에게 사기를 당해 빈털터리가 되자 용대는 급한 마음에 태숙을 포주에게 팔아 넘긴 후 유광천을 찾아 헤맨다. 위기에 처한 유광천을 구해주어 드디어 그의 부하가 된 용대, 그는 술집에서 호스테스가 된 태숙과 재회하는데 그녀는 아직도 그를 사랑한다. 용대는 첫 임무를 무사히 마치지만 용대 때문에 조직에 끌려가 다리를 잘린 만수는 둘의 주위를 맴돈다. 용대의 바램과는 달리 광천파는 날로 커지는 용대의 세력에 불안을 느끼고 그에게 조직을 위협하는 김검사를 살해하라는 명령을 내리는데...",액션,한국,1994
주먹이 운다,https://pedia.watcha.com/ko-KR/contents/m9dBzpd,"왕년엔 복싱스타. 지금은 매맞는 남자. 이제 더 이상 물러설 곳이 없다!! 한때 아시안 게임 은메달리스트로 잘 나가던 태식, 현재 그는 길거리 한복판에서 돈을 받고 사람들에게 매맞아 주는 일을 한다. 도박으로 진 빚과 공장의 화재로 인해, 가진 것을 모두 날린 후, 생계를 위해 어쩔 수 없이 거리의 매맞는 복서로 나서게 된 것. 그에게 유일하게 남은 것은 아내와 사랑하는 아들뿐. 이제, 그를 찾는 것은 소문을 듣고 전국 각지에서 몰려든 구경꾼들과 빚쟁이뿐인 처량한 신세다. 몸과 마음이 모두 피폐해진 그에게 설상가상으로 아내는 이혼을 요구해 오고, 삶의 유일한 희망인 아들 ‘서진’이와 함께 살 수 없게 되자 태식은 깊은 절망감에 빠지게 된다. 이제 더 이상 물러 설 곳도, 잃을 것도 없는 인생 막장의 늙은 복서 태식은 다시금 희망을 품고 신인왕 전 출전을 결심하게 되는데… 한편, 패싸움과 삥듣기가 하루 일과인 상환. 어느 날 큰 패싸움에 휘말려 합의금이 필요하자 동네 유지의 돈을 노린 강도 사고를 벌이게 되고 이 사건으로 상환은 소년원에 수감된다. 수감 첫날부터, 권투부 짱 ‘권록’과 한판 싸움을 벌이고 독방에 갇히고 순조롭지 않은 생활이 시작된다. 권록과의 싸움을 눈 여겨 본 교도 주임은 상환에게 권투부 가입을 권한다. 하고 싶은 것도 되고 싶었던 것도 없던 19살의 상환에게 권투는 처음으로 무언가 할 수 있다는 의지와 기쁨을 깨달아 간다. 그러던 어느 날, 공사장에서 일 하던 아버지가 갑작스런 사고로 돌아가시고 할머니 마저 쓰려졌다는 청천벽력 같은 소식이 전해져 온다. 쇼크에 쌓인 상환은 아버지를 잃은 슬픔을 잊고 할머니가 하루빨리 깨어 날수 있도록 신인왕 전에 출전해 결승의 꿈을 이뤄보려는 전의를 불태우는데…",드라마/액션,한국,2005
사이비,https://pedia.watcha.com/ko-KR/contents/mdjRAad,"'민철'(양익준)은 수몰 예정 지역인 시골 마을에 살고있는 단순무식한 난봉꾼이다. 딸 '영선'(박희본)이 공장에 다니며 마련한 대학 등록금까지 빼앗을 정도로 행실이 좋지 못하다. 어느 날 술집에서 '최경석'(권해효)과 시비가 붙어 한 대 얻어맞은 민철은 되갚아 주기 위해 경석을 추적한다. 한편 마을에는 교회가 새로 생겨 목사 '철우'(오정세)와 장로 최경석이 수몰 위기에 놓인 마을 주민들의 절박한 마음을 달래주고, 마을 주민들은 물론 민철의 딸 영선까지도 이내 그들에게 빠져들어 의지하게 된다. 민철은 경찰서 수배전단에서 최경석이 수배중인 사기꾼이라는 것을 발견하게 되고, 마을 주민들에게 그의 실상을 알리지만 그들은 좀처럼 민철의 뜻대로 반응하지 않는다. 최경석 일당의 린치에도 불구하고 경석이 사기꾼임을 부르짖지만 아무도 믿으려하지 않고, 설상가상 영선은 대학 등록금을 대주겠다는 경석의 꼬임에 빠져 술집 도우미로 전락한다. 기적을 빙자해 마을 주민들의 보상금을 노리는 사기꾼 장로 최경석, 그를 돕는 목사 철우, 유일하게 그들의 정체를 알고 있는 주정뱅이 폭군 민철, 그리고 마을 주민들. 이들은 결국 자신이 믿는 것이 진짜임을 증명하기 위해 충돌하게 된다.",애니메이션/스릴러,한국,2013
헤어질 결심,https://pedia.watcha.com/ko-KR/contents/m5DP0eR,"산 정상에서 추락한 한 남자의 변사 사건. 담당 형사 '해준'(박해일)은 사망자의 아내 '서래'(탕웨이)와 마주하게 된다. “산에 가서 안 오면 걱정했어요, 마침내 죽을까 봐.” 남편의 죽음 앞에서 특별한 동요를 보이지 않는 서래. 경찰은 보통의 유가족과는 다른 서래를 용의선상에 올린다. 해준은 사건 당일의 알리바이 탐문과 신문, 잠복수사를 통해 서래를 알아가면서 그녀에 대한 관심이 점점 커져가는 것을 느낀다. 한편, 좀처럼 속을 짐작하기 어려운 서래는 상대가 자신을 의심한다는 것을 알면서도 조금의 망설임도 없이 해준을 대하는데…. 진심을 숨기는 용의자 용의자에게 의심과 관심을 동시에 느끼는 형사 그들의 <헤어질 결심>",로맨스/드라마/미스터리/범죄/스릴러,한국,2022
곡성(哭聲),https://pedia.watcha.com/ko-KR/contents/mWLjVZD,"낯선 외지인이 나타난 후 벌어지는 의문의 연쇄 사건들로 마을이 발칵 뒤집힌다. 경찰은 집단 야생 버섯 중독으로 잠정적 결론을 내리지만 모든 사건의 원인이 그 외지인 때문이라는 소문과 의심이 걷잡을 수 없이 퍼져 나간다. 경찰 ‘종구’(곽도원)는 현장을 목격했다는 여인 ‘무명’(천우희)을 만나면서 외지인에 대한 소문을 확신하기 시작한다. 딸 ‘효진’이 피해자들과 비슷한 증상으로 아파오기 시작하자 다급해진 ‘종구’. 외지인을 찾아 난동을 부리고, 무속인 ‘일광’(황정민)을 불러 들이는데...",미스터리/스릴러/드라마,한국,2016
가족의 탄생,https://pedia.watcha.com/ko-KR/contents/mnWJxdw,"누가 보면 연인 사이라 오해할 만큼 다정한, 친구 같고 애인 같은 남매 미라(문소리)와 형철(엄태웅). 인생이 자유로운 형철은 5년 동안 소식 없다 불현듯 누나 미라를 찾아온다. 인생이 조금은 흐릿한 20살 연상녀인 무신(고두심)과 함께.. 똑 부러지는 인생을 꿈꾸던 미라는 사랑하는 동생 형철 그리고 동생이 사랑하는 여인 무신과의 아슬아슬, 어색한 동거를 시작하는데..한편, 리얼리스트 선경(공효진)은 로맨티스트 엄마 매자(김혜옥)때문에 인생이 조용할 날이 없다. 사랑이라면 만사 오케이인 엄마의 뒤치다꺼리 하다 보니 이리저리 치인 기억에 사랑이 마냥 좋지만은 않은 선경. 남자친구 준호(류승범)와의 애정전선에 낀 먹구름도 맑게 개일 기미를 보이지 않는다. 딸의 연애가 위태위태한데 매자는 왜 또 선경을 찾으시는지..그리고 그 놈의 사랑 때문에 인생이 편할 날 없는 경석(봉태규)과 채현(정유미)이 있다. 얼굴도 예쁘고 맘도 예쁜 채현이 넘치는 사랑을 주위 사람들에게 너무 나누어주다 보니 정작 남자친구는 애정결핍증에 걸리고 만 기구한 커플이다. 이건 아니다 싶은 경석. 참고 참다 둘 사이에 강수를 놓기로 하는데..과연 채현이 그 수에 걸려들까? 하루가 멀다 하고 웬~수처럼 으르렁대는 이들.. 사랑만으로도 복잡한데 이 7명은 여기저기서 또 얽히고 설킨 스캔들로 인생 들썩이기 일쑤다. 어쩌다 저렇게 엮이는지, 살짝 피곤해지려고 할 때. 꿈에도 생각지 못한 하나의 비밀이 이들에게 다가오는데...사랑에, 스캔들에, 바람 잘 날 없는 이들 과연 찬란한 행복이 탄생할 수 있을까?",드라마,한국,2006
부당거래,https://pedia.watcha.com/ko-KR/contents/mWvkKMO,"온 국민을 충격으로 몰아넣은 연쇄 살인 사건. 계속된 검거 실패로 대통령이 직접 사건에 개입하고, 수사 도중 유력한 용의자가 사망하는 사고가 발생하자 경찰청은 마지막 카드를 꺼내든다. 가짜 범인인 ‘배우’를 만들어 사건을 종결 짓는 것! 이번 사건의 담당으로 지목된 광역수사대 에이스 최철기(황정민). 경찰대 출신이 아니라는 이유 때문에 줄도, 빽도 없던 그는 승진을 보장해주겠다는 상부의 조건을 받아들이고 사건에 뛰어들게 된다. 그는 스폰서인 해동 장석구(유해진)를 이용해 ‘배우’를 세우고 대국민을 상대로 한 이벤트를 완벽하게 마무리 짓는다. 한편, 부동산 업계의 큰 손 태경 김회장으로부터 스폰을 받는 검사 주양(류승범)은 최철기가 입찰 비리건으로 김회장을 구속시켰다는 사실에 분개��해 그의 뒤를 캐기 시작한다. 때마침 자신에게 배정된 연쇄 살인 사건의 범인을 조사하던 주양은 조사 과정에서 최철기와 장석구 사이에 거래가 있었음을 알아차리고, 최철기에게 또 다른 거래를 제안하는데...",범죄/드라마,한국,2010
고양이를 부탁해,https://pedia.watcha.com/ko-KR/contents/mDWvkEO,"태희와 혜주, 지영, 화교계 샴쌍둥이인 비류와 온조는 단짝 여고시절을 보내고 사회에 나간 다섯 친구들이다. 하릴없이 집안일을 돕는 태희와 서울 증권회사에서 성공을 꿈꾸는 야심찬 혜주, 텍스타일 디자이너가 되고 싶지만 가난 때문에 좌절하고 마는 지영, 액세서리 노점을 하는 쌍둥이 자매는 모두 스무 살이라는 인생의 과도기를 통과한다. 혜주의 생일날, 지영은 길거리를 헤매는 새끼 고양이 '티티'를 선물하지만 고양이를 맡아 키울 처지가 아닌 혜주는 다시 지영에게 티티를 넘긴다. 천장이 주저않는 지영의 집이 붕괴하면서 고양이는 태희에게 다시 쌍둥이 자매를 전전하게 된다.",드라마,한국,2001
마더,https://pedia.watcha.com/ko-KR/contents/mQO8XVO,"읍내 약재상에서 일하며 아들과 단 둘이 사는 엄마(김혜자). 그녀에게 아들 도준(원빈)은 온 세상과 마찬가지다. 28세의 나이답지 않게 제 앞가림을 못 하는 어수룩한 아들 도준은 자잘한 사고를 치고 다니며 엄마의 애간장을 태운다. 어느 날, 한 소녀가 살해 당하고 어처구니없이 도준이 범인으로 몰린다. 아들을 구하기 위해 백방으로 뛰는 엄마. 하지만 경찰은 서둘러 사건을 종결 짓고 무능한 변호사는 돈만 밝힌다. 결국 아들을 구하기 위해 믿을 사람 하나 없이 범인을 찾아나선 엄마. 도준의 혐의가 굳어져 갈수록 엄마 또한 절박해져만 간다.",드라마/미스터리/스릴러/범죄,한국,2009
